circuitId,circuitRef,name,location,country,lat,lng,alt
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109
5,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,228
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153
10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264
12,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,4
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401
14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18
16,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,583
17,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5
18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,223
20,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37
22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3
25,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,8
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,37
