resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime
1,1061,830,9,33,2,1,1,1,3,17,25:38.4,1538426,14,01:30.0
2,1061,1,131,44,1,2,2,2,2,17,1.43,1539856,17,01:29.9
3,1061,822,131,77,3,3,3,3,1,17,7.502,1545928,17,01:30.0
4,1061,844,6,16,4,4,4,4,0,17,11.278,1549704,16,01:30.2
5,1061,846,1,4,6,5,5,5,0,17,24.111,1562537,16,01:30.6
6,1061,817,1,3,7,6,6,6,0,17,30.959,1569385,17,01:30.6
7,1061,4,214,14,11,7,7,7,0,17,43.527,1581953,17,01:31.8
8,1061,20,117,5,10,8,8,8,0,17,44.439,1582865,17,01:31.7
9,1061,847,3,63,8,9,9,9,0,17,46.652,1585078,17,01:32.2
10,1061,839,214,31,13,10,10,10,0,17,47.395,1585821,16,01:32.2
11,1061,832,6,55,9,11,11,11,0,17,47.798,1586224,10,01:32.0
12,1061,842,213,10,12,12,12,12,0,17,48.763,1587189,17,01:32.1
13,1061,8,51,7,17,13,13,13,0,17,50.677,1589103,12,01:32.1
14,1061,840,117,18,15,14,14,14,0,17,52.179,1590605,12,01:32.2
15,1061,841,51,99,14,15,15,15,0,17,53.225,1591651,14,01:32.5
16,1061,852,213,22,16,16,16,16,0,17,53.567,1591993,14,01:32.3
17,1061,849,3,6,18,17,17,17,0,17,55.162,1593588,17,01:32.1
18,1061,854,210,47,19,18,18,18,0,17,+1:08.213,1606639,15,01:32.6
19,1061,853,210,9,20,19,19,19,0,17,+1:17.648,1616074,3,01:33.5
21,1065,822,131,77,1,1,1,1,3,18,27:54.1,1674078,9,01:23.5
22,1065,830,9,33,3,2,2,2,2,18,2.325,1676403,9,01:23.5
23,1065,817,1,3,5,3,3,3,1,18,14.534,1688612,17,01:24.3
24,1065,846,1,4,4,4,4,4,0,18,18.835,1692913,9,01:24.6
25,1065,1,131,44,2,5,5,5,0,18,20.011,1694089,9,01:24.3
26,1065,844,6,16,8,6,6,6,0,18,23.442,1697520,18,01:24.7
27,1065,832,6,55,7,7,7,7,0,18,27.952,1702030,8,01:24.9
28,1065,841,51,99,10,8,8,8,0,18,31.089,1705167,10,01:25.1
29,1065,815,9,11,9,9,9,9,0,18,31.68,1705758,12,01:24.2
30,1065,840,117,18,12,10,10,10,0,18,38.671,1712749,8,01:25.3
31,1065,4,214,14,13,11,11,11,0,18,39.795,1713873,8,01:25.2
32,1065,20,117,5,11,12,12,12,0,18,41.177,1715255,8,01:25.5
33,1065,839,214,31,14,13,13,13,0,18,43.373,1717451,8,01:25.6
34,1065,849,3,6,16,14,14,14,0,18,45.977,1720055,9,01:25.7
35,1065,847,3,63,15,15,15,15,0,18,46.821,1720899,15,01:25.8
36,1065,852,213,22,17,16,16,16,0,18,49.977,1724055,18,01:25.8
37,1065,853,210,9,20,17,17,17,0,18,+1:02.599,1736677,7,01:26.6
38,1065,9,51,88,19,18,18,18,0,18,+1:05.096,1739174,12,01:26.8
39,1065,854,210,47,18,19,19,19,0,18,+1:06.154,1740232,7,01:26.8
41,1071,822,131,77,2,1,1,1,3,24,29:09.6,1749559,8,01:12.3
42,1071,830,9,33,1,2,2,2,2,24,1.17,1750729,9,01:12.1
43,1071,832,6,55,5,3,3,3,1,24,18.723,1768282,13,01:13.2
44,1071,815,9,11,3,4,4,4,0,24,19.787,1769346,13,01:13.1
45,1071,1,131,44,20,5,5,5,0,24,20.872,1770431,5,01:12.4
46,1071,846,1,4,7,6,6,6,0,24,22.558,1772117,8,01:13.0
47,1071,844,6,16,6,7,7,7,0,24,25.056,1774615,4,01:13.1
48,1071,842,213,10,4,8,8,8,0,24,34.158,1783717,4,01:13.3
49,1071,839,214,31,10,9,9,9,0,24,34.632,1784191,11,01:13.6
50,1071,20,117,5,11,10,10,10,0,24,34.867,1784426,5,01:13.6
51,1071,817,1,3,8,11,11,11,0,24,35.869,1785428,9,01:13.5
52,1071,4,214,14,9,12,12,12,0,24,36.578,1786137,4,01:13.4
53,1071,841,51,99,14,13,13,13,0,24,41.88,1791439,11,01:13.6
54,1071,840,117,18,15,14,14,14,0,24,44.037,1793596,9,01:13.7
55,1071,852,213,22,12,15,15,15,0,24,46.15,1795709,11,01:13.7
56,1071,849,3,6,16,16,16,16,0,24,46.76,1796319,7,01:13.9
57,1071,847,3,63,17,17,17,17,0,24,47.739,1797298,14,01:14.1
58,1071,8,51,7,13,18,18,18,0,24,50.014,1799573,9,01:13.9
59,1071,854,210,47,18,19,19,19,0,24,+1:01.680,1811239,9,01:14.4
60,1071,853,210,9,19,20,20,20,0,24,+1:07.474,1817033,6,01:14.6
61,1077,830,9,1,1,1,1,1,8,21,30:39.6,1839567,14,01:19.2
62,1077,844,6,16,2,2,2,2,7,21,2.975,1842542,11,01:19.0
63,1077,815,9,11,7,3,3,3,6,21,4.721,1844288,14,01:19.0
64,1077,832,6,55,10,4,4,4,5,21,17.578,1857145,14,01:19.3
65,1077,846,1,4,3,5,5,5,4,21,24.561,1864128,9,01:20.0
66,1077,817,1,3,6,6,6,6,3,21,27.74,1867307,12,01:20.3
67,1077,822,51,77,8,7,7,7,2,21,28.133,1867700,9,01:20.2
68,1077,825,210,20,4,8,8,8,1,21,30.712,1870279,6,01:20.6
69,1077,4,214,14,5,9,9,9,0,21,32.278,1871845,10,01:20.6
70,1077,854,210,47,12,10,10,10,0,21,33.773,1873340,15,01:20.6
71,1077,847,131,63,11,11,11,11,0,21,36.284,1875851,19,01:20.8
72,1077,852,213,22,16,12,12,12,0,21,38.298,1877865,20,01:20.9
73,1077,20,117,5,9,13,13,13,0,21,40.177,1879744,8,01:21.0
74,1077,1,131,44,13,14,14,14,0,21,41.459,1881026,9,01:20.7
75,1077,840,117,18,15,15,15,15,0,21,42.91,1882477,14,01:20.9
76,1077,839,214,31,19,16,16,16,0,21,43.517,1883084,14,01:21.0
77,1077,842,213,10,17,17,17,17,0,21,43.794,1883361,18,01:20.6
78,1077,848,3,23,20,18,18,18,0,21,48.871,1888438,14,01:21.0
79,1077,849,3,6,18,19,19,19,0,21,52.017,1891584,16,01:21.4
81,1084,830,9,1,1,1,1,1,8,23,26:30.1,1590059,5,01:08.5
