Driver,Age,Race
Max Verstappen,"18 years, 228 days",2016 Spanish Grand Prix
Sebastian Vettel,"21 years, 73 days",2008 Italian Grand Prix
Charles Leclerc,"21 years, 320 days",2019 Belgian Grand Prix
Fernando Alonso,"22 years, 26 days",2003 Hungarian Grand Prix
Troy Ruttman,"22 years, 80 days",1952 Indianapolis 500
Bruce McLaren,"22 years, 104 days",1959 United States Grand Prix
Lewis Hamliton,"22 years, 154 days",2007 Canadian Grand Prix
Kimi Raikkonen,"23 years, 157 days",2003 Malaysian Grand Prix
Robert Kubica,"23 years, 184 days",2008 Canadian Grand Prix
Jacky Ickx,"23 years, 188 days",1968 French Grand Prix
